id_unidad,clues,clave_presupuestal,nombre_corto,derechohabientes_primer_nivel,derechohabientes_segundo_nivel,derechohabientes_tercer_nivel
U_ISSSTE_137,CHIST000030,008-204-00,"HG Presidente Gral. Lázaro Cárdenas, Chihuahua",No aplica,"122,008",No aplica
U_ISSSTE_138,CHIST000310,008-204-01,CAF Dr. Belisario Domínguez,638,No aplica,No aplica
U_ISSSTE_139,CHIST000182,008-204-04,CAF Villa Aldama,"1,097",No aplica,No aplica
U_ISSSTE_140,CHIST000153,008-204-08,UMF Ojinaga,"3,828",No aplica,No aplica
U_ISSSTE_141,CHIST000112,008-205-00,HG Cd. Juárez,No aplica,"109,838",No aplica
U_ISSSTE_142,CHIST000515,008-206-00,CH Cd. Delicias,No aplica,"30,993",No aplica
U_ISSSTE_143,CHIST000095,008-207-00,CH Hidalgo del Parral,"18,059","39,149",No aplica
U_ISSSTE_144,CHIST000223,008-207-01,CAF Balleza,"1,086",No aplica,No aplica
U_ISSSTE_145,CHIST000334,008-207-03,CAF Guadalupe y Calvo,"4,202",No aplica,No aplica
U_ISSSTE_146,CHIST000066,008-207-04,UMF Guachochi,"8,226",No aplica,No aplica
U_ISSSTE_147,CHIST000450,008-207-05,CAF San Francisco del Oro,514,No aplica,No aplica
U_ISSSTE_148,CHIST000462,008-207-06,CAF Santa Bárbara,756,No aplica,No aplica
U_ISSSTE_149,CHIST000194,008-207-07,CAF Valle de Allende,880,No aplica,No aplica
U_ISSSTE_150,CHIST000491,008-207-08,CAF Valle de Zaragoza,298,No aplica,No aplica
U_ISSSTE_151,CHIST000136,008-207-09,UMF Villa Matamoros,121,No aplica,No aplica
U_ISSSTE_152,CHIST000100,008-207-13,UMF Cd. Jiménez,"5,007",No aplica,No aplica
U_ISSSTE_153,CHIST000025,008-210-00,CH Cd. Cuauhtémoc,"20,369","34,060",No aplica
U_ISSSTE_154,CHIST000474,008-210-01,CAF Bahuichivo,743,No aplica,No aplica
U_ISSSTE_155,CHIST000404,008-210-03,CAF El Terrero,585,No aplica,No aplica
U_ISSSTE_156,CHIST000305,008-210-04,CAF Chínipas,687,No aplica,No aplica
U_ISSSTE_157,CHIST000240,008-210-06,CAF San Juanito,"1,532",No aplica,No aplica
U_ISSSTE_158,CHIST000392,008-210-09,CAF Matachí,118,No aplica,No aplica
U_ISSSTE_159,CHIST000071,008-210-10,UMF Adolfo López Mateos (La Junta),511,No aplica,No aplica
U_ISSSTE_160,CHIST000083,008-210-11,UMF Cd. Guerrero,"2,122",No aplica,No aplica
U_ISSSTE_161,CHIST000124,008-210-13,UMF Madera,"2,145",No aplica,No aplica
U_ISSSTE_162,CHIST000346,008-210-16,CAF Tomochi,475,No aplica,No aplica
U_ISSSTE_163,PENDIENTE,008-210-17,CAF Gómez Farias,664,No aplica,No aplica
U_ISSSTE_164,CHIST000416,008-210-18,CAF Óscar Soto Maynez,465,No aplica,No aplica
U_ISSSTE_165,CHIST000276,008-210-19,CAF Carichí,369,No aplica,No aplica
U_ISSSTE_166,CHIST000235,008-210-20,CAF Creel,"2,298",No aplica,No aplica
U_ISSSTE_167,CHIST000380,008-210-21,CAF El Largo Maderal,293,No aplica,No aplica
U_ISSSTE_168,CHIST000486,008-210-23,CAF San Rafael Urique,"1,094",No aplica,No aplica
U_ISSSTE_169,CHIST000520,008-210-25,CAF Témoris,277,No aplica,No aplica
U_ISSSTE_170,CHIST000363,008-211-00,CMF Cd. Juárez,"98,270",No aplica,No aplica
