id_unidad,clues,clave_presupuestal,nombre_corto,camas_censables_adultos_cirugia,camas_censables_adultos_medicina_interna,camas_censables_adultos_gineco_obstetricia,camas_censables_adultos_total,camas_censables_pediatria_camas,camas_censables_pediatria_cunas,camas_censables_pediatria_incubadoras,camas_censables_pediatria_total,camas_censables_total,camas_transito_urgencias_adultos,camas_transito_urgencias_pediatria,camas_transito_trabajo_de_parto,camas_transito_cuidados_intensivos,camas_transito_recuperacion,camas_transito_cunas,camas_transito_otras,camas_transito_total
U_ISSSTE_83,CLIST000140,005-216-00,CMFEQ Torreón,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
U_ISSSTE_84,CLIST000053,005-216-01,UMF Matamoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_85,CLIST000333,005-220-00,HG Saltillo,20,20,24,64,8,0,0,8,72,11,1,6,5,10,0,42,75
U_ISSSTE_86,CLIST000222,005-220-01,CAF General Cepeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_87,CLIST000275,005-220-02,CAF UH. FOVISSSTE Chapultepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_88,CLIST000292,005-220-05,CAF UHF. Lomas del Bosque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_89,CLIST000263,005-220-06,CAF Ramos Arizpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_90,CLIST000082,005-220-07,UMF Parras de la Fuente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_91,CLIST000106,005-221-00,CMF Saltillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_92,CMIST000010,006-204-00,"CH Dr. Miguel Trejo Ochoa, Colima",18,14,9,41,2,2,1,5,46,9,2,1,0,7,2,16,37
U_ISSSTE_93,CMIST000046,006-204-01,CAF Armería,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_94,CMIST000051,006-204-02,CAF Minatitlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_95,CMIST000034,006-204-03,UMF Tecomán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
U_ISSSTE_96,CMIST000022,006-205-00,CH Manzanillo,7,8,3,18,1,0,1,2,20,2,1,0,0,2,0,9,14
U_ISSSTE_97,CSIST000251,007-204-00,"HG Dr. Belisario Domínguez, Tuxtla Gutiérrez.",39,56,13,108,5,3,3,11,119,12,4,8,18,8,0,27,77
U_ISSSTE_98,CSIST000210,007-205-00,"CH Dr. Roberto Nettel F., Tapachula",12,12,6,30,5,0,1,6,36,0,0,1,2,0,0,13,16
U_ISSSTE_99,CSIST000041,007-205-01,UMF Cacahoatán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_100,CSIST000205,007-205-02,UMF Cd. Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_101,CSIST000106,007-205-03,UMF Huixtla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_102,CSIST000123,007-205-04,UMF Mapastepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_103,CSIST000135,007-205-05,UMF Motozintla de Mendoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
