id_unidad,clues,clave_presupuestal,nombre_corto,personal_medico_general_familiar,personal_medico_gineco_obstetra,personal_medico_pediatra,personal_medico_odontologo,personal_medico_cirujano,personal_medico_internista,personal_medico_anestesiologo,personal_medico_geriatra,personal_medico_oncologos,personal_medico_traumatologia_y_ortopedia,personal_medico_otras_especialidades,personal_medico_otras_labores,personal_medico_etapa_aprendizaje_residentes,personal_medico_etapa_aprendizaje_internos,personal_medico_etapa_aprendizaje_pasantes,personal_medico_total,personal_enfermeria_general,personal_enfermeria_especialista,personal_enfermeria_auxiliar,personal_enfermeria_pasante,personal_enfermeria_total,personal_paramedico_laboratorista,personal_paramedico_rayos_x,personal_paramedico_quimicos,personal_paramedico_trabajo_social,personal_paramedico_otros,personal_paramedico_total,personal_administrativo,personal_servicios_generales,personal_total
U_ISSSTE_110,CSIST000350,007-206-05,CAF Altamirano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_111,CSIST000065,007-207-00,CH Comitán de Domínguez,10,5,5,2,4,4,5,1,0,2,7,5,0,0,0,50,31,2,23,0,56,5,4,1,1,7,18,52,21,197
U_ISSSTE_112,CSIST000094,007-207-01,UMF Frontera Comalapa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_113,CSIST000391,007-207-02,UMF Las Margaritas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_114,CSIST000246,007-208-00,CMF Tuxtla Gutiérrez,26,0,0,0,0,0,0,0,0,0,3,3,0,0,0,32,6,0,19,0,25,1,2,2,0,5,10,27,2,96
U_ISSSTE_115,CSIST000024,007-208-01,UMF Arriaga,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4
U_ISSSTE_116,CSIST000036,007-208-02,UMF Bochil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_117,CSIST000053,007-208-03,UMF Cintalapa de Figueroa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,1,0,5
U_ISSSTE_118,CSIST000070,007-208-05,UMF Copainalá,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_119,CSIST000082,007-208-06,UMF Chiapa de Corzo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3
U_ISSSTE_120,CSIST000111,007-208-08,UMF Jiquipilas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_121,CSIST000152,007-208-09,UMF Ocozocoautla de Espinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,3
U_ISSSTE_122,CSIST000176,007-208-11,UMF Pichucalco,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,7,0,12
U_ISSSTE_123,CSIST000222,007-208-16,UMF Tapilula,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_124,CSIST000234,007-208-17,UMF Tonalá,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,2,0,9
U_ISSSTE_125,CSIST000304,007-208-18,CAF Venustiano Carranza,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_126,CSIST000263,007-208-20,UMF Villa Flores,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,3,0,6,0,0,0,0,0,0,6,0,16
U_ISSSTE_127,CSIST000432,007-208-22,CMCT Palacio Federal (Tuxtla Gutiérrez),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_128,CSIST000444,007-208-23,CMCT SAGARPA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_129,CSIST000456,007-208-24,CMCT Bienestar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_130,CSIST000461,007-208-25,CMCT SECH (SEF),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_131,CSIST000321,007-208-26,CAF Reforma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_132,CSIST000473,007-208-28,CAF UH. FOVISSSTE Paraíso,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_133,CSIST000420,007-208-30,CAF Simojovel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_134,CSIST000362,007-208-32,CAF Berriozábal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_135,CSIST000490,007-208-33,CAF Villa Corzo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_136,CSIST000514,007-211-00,CH Palenque ,23,2,4,1,5,2,6,0,0,1,1,22,0,1,0,68,66,25,1,0,92,3,2,2,0,16,23,26,43,252
U_ISSSTE_137,CHIST000030,008-204-00,"HG Presidente Gral. Lázaro Cárdenas, Chihuahua",21,8,6,6,16,11,12,1,0,7,29,24,0,0,0,141,110,81,85,0,276,13,10,14,0,23,60,143,47,667
